Data;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio Grande do Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;Sao Paulo;Parana;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goias;Distrito Federal
set/96;349.69;350.35;378.81;476.60;362.50;339.98;352.31;343.16;282.19;319.86;320.87;315.65;270.81;336.66;273.48;303.51;263.90;251.18;340.39;362.52;328.95;339.41;352.57;328.25;302.59;290.27;344.45
out/96;349.96;350.59;382.22;477.43;363.37;342.21;358.30;342.65;286.03;316.42;318.49;319.99;273.69;337.45;274.11;301.37;264.22;248.01;340.53;360.78;326.38;339.46;350.01;329.25;303.56;291.47;345.43
nov/96;348.17;356.12;380.26;479.35;364.54;339.75;357.05;340.86;286.89;318.85;318.54;331.65;288.11;336.30;272.85;303.11;266.56;246.84;337.92;362.04;326.67;340.62;347.10;331.03;303.32;292.65;342.56
dez/96;350.99;355.04;386.15;482.44;368.04;343.41;366.16;341.21;294.44;317.76;328.62;329.47;285.84;336.80;273.62;300.59;274.27;246.20;335.93;360.60;326.28;341.22;350.01;329.20;302.83;293.62;342.47
jan/97;351.31;358.33;391.44;485.75;375.77;342.53;366.10;343.27;294.39;318.71;328.54;332.54;287.97;338.91;278.96;300.90;274.65;249.29;341.08;362.31;326.74;342.71;350.05;331.10;304.35;295.55;343.15
fev/97;351.58;358.67;391.58;485.62;378.43;344.98;367.43;345.68;296.25;319.48;328.82;333.20;288.87;339.27;284.10;299.81;275.58;257.56;343.75;365.54;334.50;345.24;351.77;332.36;305.00;293.46;345.38
mar/97;352.50;358.19;391.68;484.87;378.78;342.88;367.66;345.20;296.93;320.92;329.01;333.07;289.42;339.00;286.94;298.70;277.92;259.49;342.09;368.31;335.10;345.22;353.33;334.47;308.42;294.87;344.84
abr/97;351.95;357.26;392.26;483.74;379.51;342.30;366.63;349.10;298.24;318.29;328.32;331.20;287.66;337.65;286.75;307.65;276.86;259.94;355.09;369.57;335.94;343.20;354.25;344.12;308.16;296.87;345.49
mai/97;351.79;356.29;390.97;480.19;377.21;344.96;365.99;351.47;298.84;323.72;330.84;331.54;287.08;336.74;287.07;311.96;277.17;261.28;355.21;371.13;339.21;344.16;353.08;343.70;308.85;298.15;354.48
jun/97;352.01;357.91;392.09;484.53;377.93;343.96;375.13;347.64;300.03;321.83;332.49;338.08;286.01;346.50;287.79;309.93;278.42;260.52;354.97;384.26;339.73;344.40;354.26;343.41;310.27;302.86;355.59
jul/97;353.52;358.29;401.72;483.71;379.26;345.00;375.90;347.46;302.36;322.05;333.27;340.11;283.33;347.14;287.33;311.46;279.77;261.04;355.43;380.88;338.08;344.87;360.99;343.76;312.03;303.47;355.74
ago/97;353.35;358.88;400.72;485.63;380.92;348.34;373.93;347.45;301.45;319.98;332.29;337.86;283.24;344.42;286.19;311.47;277.42;261.47;356.75;383.50;346.10;345.33;359.34;341.98;310.95;304.94;354.94
set/97;350.20;357.86;398.50;487.35;377.78;347.12;370.61;347.30;299.35;320.59;332.21;336.41;280.74;341.34;286.04;309.72;279.78;261.06;354.24;381.74;342.90;347.05;362.43;343.67;314.64;304.24;356.01
out/97;351.31;358.44;397.53;486.63;376.65;346.30;372.39;344.42;298.96;317.63;330.98;337.76;280.97;341.27;284.74;310.17;279.49;261.27;356.23;383.43;346.46;344.00;361.12;344.01;318.55;301.68;356.92
nov/97;355.00;361.85;397.40;486.82;375.74;343.22;371.04;347.79;298.94;316.98;330.40;333.81;285.93;341.45;281.69;309.99;284.19;261.69;356.43;383.89;344.90;343.78;359.62;347.68;320.11;304.40;356.12
dez/97;355.16;368.68;401.46;483.16;377.69;342.33;372.21;348.26;304.94;315.81;336.48;332.55;288.01;341.51;281.37;309.50;284.14;262.70;357.93;385.35;342.82;351.08;361.22;347.53;323.24;304.40;356.92
jan/98;355.47;365.10;399.49;476.35;378.12;342.81;370.36;354.14;305.09;313.37;336.00;332.92;284.23;343.24;280.46;310.68;287.17;261.10;355.30;384.32;342.57;351.01;359.76;346.92;322.46;303.96;357.16
fev/98;355.74;366.80;399.57;478.92;379.55;346.19;370.88;348.57;305.16;311.23;333.98;329.49;285.61;339.79;280.80;308.45;288.40;261.17;356.89;383.88;345.91;349.44;360.72;345.90;324.91;303.32;360.56
mar/98;355.34;368.83;400.04;480.14;379.29;347.03;371.11;348.85;306.73;313.05;335.07;328.91;285.58;342.81;280.46;314.50;287.86;264.08;357.36;383.77;345.90;349.66;359.77;345.28;325.74;301.12;361.51
abr/98;353.44;371.08;400.95;480.88;381.63;346.59;372.24;347.59;307.01;322.13;336.13;328.57;288.59;339.85;279.56;314.63;289.21;264.28;365.07;385.51;349.17;350.27;359.95;344.69;325.19;300.94;362.20
mai/98;353.04;373.67;401.35;482.53;381.10;346.40;373.27;347.60;308.24;323.02;335.48;327.45;287.29;341.29;280.22;314.02;288.76;265.33;366.53;391.71;349.37;349.91;363.22;349.23;326.43;302.65;360.63
jun/98;354.80;373.16;399.17;482.60;380.67;351.58;377.01;347.71;307.98;322.15;335.93;327.81;285.38;341.31;284.05;314.95;287.92;265.17;367.41;392.57;350.34;350.32;360.76;346.43;326.66;309.05;365.18
jul/98;357.13;373.68;406.79;481.73;380.00;350.98;377.73;350.79;307.63;321.90;335.74;328.67;287.02;346.85;284.20;316.50;288.10;265.24;365.38;392.32;354.13;351.55;366.51;344.55;324.18;309.86;364.26
ago/98;359.49;373.38;406.93;483.15;380.87;349.55;378.28;348.68;307.25;321.70;335.26;328.20;287.08;347.71;283.15;316.71;287.93;264.32;365.38;391.90;356.76;349.60;365.36;346.11;326.68;310.76;364.94
set/98;359.65;376.60;407.96;481.81;380.04;348.80;378.86;345.86;307.27;320.57;335.09;330.55;286.78;345.58;283.28;315.44;287.63;263.29;363.97;393.32;355.81;349.90;362.64;344.24;329.63;310.32;363.88
out/98;358.78;376.80;407.56;479.32;382.98;346.05;379.36;343.71;306.79;320.92;335.05;331.26;287.05;343.65;281.83;315.91;288.42;263.84;365.49;393.86;356.53;349.38;365.16;344.64;328.83;310.61;363.34
nov/98;356.73;376.34;405.51;478.13;382.97;344.30;379.26;347.28;305.08;322.93;333.32;328.99;285.51;343.07;280.90;315.27;287.46;263.91;366.46;392.45;358.48;347.62;364.45;345.98;327.96;310.74;363.77
dez/98;356.40;376.73;404.43;477.99;383.20;348.54;379.99;347.66;305.89;323.76;335.69;331.02;286.57;343.04;281.28;315.12;287.49;264.43;366.33;393.79;357.73;347.98;365.56;346.82;328.07;311.69;364.43
jan/99;263.13;271.58;313.59;333.30;279.08;271.59;291.65;259.56;231.50;250.88;253.44;245.73;242.55;283.85;229.06;269.76;246.84;225.83;310.37;325.09;295.46;295.21;294.69;270.12;255.08;258.59;296.44
fev/99;262.73;269.39;315.29;333.36;280.01;274.94;291.58;259.61;231.86;254.76;255.14;250.30;246.37;287.61;230.15;273.73;252.60;227.19;312.77;327.72;296.38;296.95;298.60;272.33;261.66;259.54;299.51
mar/99;263.26;269.26;315.79;334.58;283.09;275.88;289.76;260.12;232.99;255.43;256.09;251.30;246.78;287.98;229.78;275.07;257.72;228.40;314.48;330.56;299.44;297.80;299.35;274.12;261.80;262.09;300.66
abr/99;263.38;269.08;315.98;335.69;283.33;276.30;289.54;262.59;234.45;256.37;256.09;251.99;249.94;286.10;227.93;276.96;259.22;230.10;317.64;332.39;302.87;297.66;300.87;275.95;263.45;262.35;301.77
mai/99;263.10;270.17;316.43;334.62;284.58;282.17;290.57;261.20;235.77;260.09;256.26;252.31;249.83;287.63;232.27;278.02;261.18;229.79;315.73;341.72;303.69;300.00;301.87;277.35;264.58;262.39;302.68
jun/99;261.27;267.38;313.86;333.13;283.33;281.21;291.69;257.59;234.87;260.56;253.45;251.78;249.71;295.07;230.75;277.46;259.26;229.72;322.29;342.11;303.51;299.36;303.08;280.35;262.00;269.95;309.44
jul/99;267.38;266.76;313.30;333.39;284.50;283.17;292.36;259.68;234.49;260.18;254.03;251.99;250.43;294.14;229.78;277.96;260.31;232.39;324.04;342.49;310.57;298.63;300.55;280.93;261.60;271.07;312.23
ago/99;268.04;267.05;316.83;332.34;283.21;284.52;297.20;258.56;234.44;261.10;254.29;251.32;252.13;293.17;229.37;278.99;260.99;233.10;326.88;341.94;312.58;300.01;309.14;281.34;263.42;270.85;311.55
set/99;267.72;272.10;317.29;334.17;282.63;288.27;298.47;259.95;233.26;261.41;254.09;250.66;252.66;294.01;231.76;279.98;263.76;235.43;329.57;343.10;313.74;301.42;311.71;284.45;264.58;269.10;316.64
out/99;268.07;272.34;317.95;343.78;285.25;291.35;301.35;261.22;233.62;263.39;255.35;249.38;252.58;296.20;232.03;283.58;266.24;238.86;329.93;346.31;315.62;302.27;313.17;284.67;266.57;271.60;319.14
nov/99;270.27;273.24;319.33;356.51;288.24;297.47;305.48;265.05;235.77;266.36;264.87;250.89;262.58;300.89;235.73;287.07;270.86;242.58;332.88;352.01;318.54;305.68;316.04;287.33;271.52;279.29;323.87
dez/99;273.67;277.55;320.87;366.91;291.71;301.75;310.84;269.57;237.56;269.13;267.44;253.13;266.04;304.38;239.20;291.08;272.37;246.20;335.83;353.76;321.53;310.18;319.66;287.94;274.73;282.91;324.02
jan/00;277.33;279.27;316.09;370.79;299.69;308.44;310.42;269.65;238.68;271.26;268.48;259.96;269.98;304.10;247.24;292.09;279.91;254.88;337.78;357.00;323.57;312.76;320.27;288.07;280.00;285.65;327.18
fev/00;277.28;279.31;318.01;375.29;303.39;309.63;310.50;271.41;242.79;270.69;269.78;261.40;271.03;302.94;247.57;291.41;281.39;255.87;339.77;356.87;323.99;315.02;319.74;287.03;281.66;285.11;328.32
mar/00;277.83;282.20;318.46;377.28;306.98;312.90;310.74;276.29;244.57;272.53;272.53;265.03;274.24;304.60;249.83;301.84;283.56;258.77;347.41;357.98;324.84;318.71;321.11;287.23;281.29;290.08;330.70
abr/00;278.43;281.25;319.14;376.39;307.13;313.36;309.46;275.40;244.91;272.93;273.65;266.06;274.88;305.37;249.63;302.84;284.73;259.11;353.43;358.76;326.60;319.88;321.11;286.90;280.12;291.82;331.88
mai/00;278.45;280.20;318.64;377.81;308.24;322.69;310.28;278.17;247.45;282.03;275.30;267.04;274.87;303.62;249.68;302.85;285.78;259.39;352.75;359.54;325.63;321.15;322.02;287.36;280.00;292.98;332.22
jun/00;278.72;281.01;318.58;381.35;310.43;324.58;312.01;279.55;248.39;282.54;275.91;267.07;274.57;313.44;251.02;302.69;286.09;259.62;352.96;367.25;326.41;325.63;326.16;288.75;279.98;292.79;341.48
jul/00;279.31;282.08;320.03;382.46;311.86;325.45;313.57;280.58;248.91;283.52;276.46;267.46;275.58;313.68;251.13;303.91;286.62;265.38;354.06;369.61;336.22;327.24;330.13;295.97;280.99;300.89;343.04
ago/00;279.88;283.75;331.60;383.36;312.16;328.77;321.44;284.42;249.46;284.54;276.92;268.39;277.98;315.73;251.29;305.71;287.85;269.57;354.16;370.65;336.96;327.71;330.76;297.67;284.15;302.93;345.05
set/00;281.06;285.17;332.55;400.51;314.81;329.66;322.63;284.51;249.89;287.05;277.13;270.25;279.10;317.50;256.25;306.65;287.91;271.92;355.25;370.90;337.10;327.99;331.05;299.23;284.60;303.10;345.09
out/00;281.44;285.90;333.55;400.45;314.57;330.36;322.95;286.62;250.33;288.75;277.14;270.78;281.14;317.43;256.82;306.39;288.65;271.85;355.67;371.07;336.76;328.14;332.54;299.30;285.15;303.56;344.51
nov/00;281.82;287.17;334.03;403.86;315.60;330.97;323.48;286.29;250.69;289.51;281.83;271.35;289.75;317.93;258.73;306.26;288.78;271.92;355.74;371.87;337.95;327.88;336.40;300.94;285.83;304.45;344.91
