Data;Rondonia;Acre;Amazonas;Roraima;Para;Amapa;Tocantins;Maranhao;Piaui;Ceara;Rio Grande do Norte;Paraiba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espirito Santo;Rio de Janeiro;Sao Paulo;Parana;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goias;Distrito Federal
abr/04;416.40;437.59;476.22;554.53;443.98;429.14;480.45;436.95;381.42;412.88;408.79;401.03;422.32;455.78;385.82;454.77;443.65;401.47;534.41;529.62;482.91;463.41;478.58;447.65;438.34;441.50;503.53
mai/04;428.32;439.96;477.72;555.72;446.33;429.94;482.10;437.74;382.62;415.71;414.01;418.74;425.77;459.14;391.23;457.17;448.92;408.28;536.04;542.47;485.07;473.24;481.86;461.53;442.21;455.52;516.21
jun/04;433.31;442.00;481.65;558.76;450.03;433.14;484.58;440.73;386.94;416.96;418.81;419.31;430.00;461.81;393.93;459.17;453.54;413.47;538.81;547.16;486.11;476.63;485.03;464.87;443.05;462.22;519.74
jul/04;434.91;453.49;483.95;564.06;453.09;435.53;487.60;442.15;389.67;421.02;424.15;420.30;432.55;473.46;398.51;460.66;455.11;418.90;541.53;552.25;499.23;479.72;491.51;467.41;457.46;465.21;524.04
ago/04;438.03;455.28;485.15;564.90;454.69;439.47;491.08;446.97;392.89;425.44;426.12;425.91;439.59;478.14;402.94;466.44;461.36;422.28;547.00;558.86;503.14;485.11;498.29;471.72;461.24;468.28;526.87
set/04;440.10;456.28;487.83;567.13;456.10;441.28;495.73;451.06;395.59;428.40;430.10;429.52;443.28;482.21;415.48;469.48;463.10;425.75;549.98;562.23;505.96;488.69;503.22;475.48;466.62;472.34;531.32
out/04;443.39;457.22;494.28;584.21;460.24;443.52;505.33;453.43;396.72;431.24;433.97;430.87;447.13;487.38;421.23;476.63;466.28;429.42;552.69;565.23;509.96;493.55;507.43;478.03;467.52;473.92;534.48
nov/04;445.70;459.07;497.81;592.45;462.43;447.42;511.13;456.83;401.29;444.65;446.59;438.79;466.72;496.64;426.00;481.33;468.29;435.08;556.47;570.68;513.22;498.61;510.12;479.87;471.04;475.94;537.66
dez/04;446.19;461.80;501.14;598.06;469.53;451.81;514.23;462.34;408.51;449.33;450.56;448.11;470.84;501.31;429.90;484.24;488.41;437.82;559.38;573.70;518.08;502.07;514.75;485.22;475.46;478.59;544.69
jan/05;447.55;466.46;516.84;602.66;478.52;466.14;517.58;477.88;417.20;452.58;456.59;462.76;471.62;502.65;430.89;485.33;490.06;439.57;562.00;576.53;520.02;507.00;516.06;488.19;480.68;481.80;546.10
fev/05;448.55;468.58;520.39;608.31;479.38;484.47;520.99;482.52;420.91;457.05;457.06;465.50;475.61;502.94;435.10;503.59;491.25;441.54;562.60;576.94;523.43;512.22;520.26;489.62;483.15;482.55;547.26
mar/05;452.61;471.61;521.79;615.19;481.94;490.09;524.17;482.62;422.79;457.28;460.41;469.56;478.42;503.50;437.67;505.31;494.01;447.12;565.04;580.04;525.64;514.14;524.18;490.11;484.14;483.03;547.60
abr/05;456.07;474.04;523.99;619.61;483.70;491.24;525.31;484.05;424.82;458.52;461.34;471.04;479.78;505.05;440.52;508.71;498.22;451.60;592.67;582.56;528.43;515.44;529.21;492.77;485.39;483.92;549.10
mai/05;459.84;495.17;526.38;629.24;487.18;496.94;527.58;485.40;429.79;459.46;465.47;474.36;481.12;509.95;443.90;511.12;502.42;456.73;596.89;600.22;532.11;523.49;531.90;515.81;487.36;497.87;564.52
jun/05;478.95;495.98;531.62;640.29;488.29;498.26;530.11;488.50;431.57;466.71;466.50;474.85;483.07;522.71;445.60;512.21;503.57;468.67;597.58;602.13;550.11;525.68;535.47;517.77;487.63;499.88;566.34
jul/05;479.60;497.10;546.71;640.96;489.19;498.83;530.89;491.44;432.71;468.61;469.02;475.69;484.96;525.69;448.20;517.43;504.74;469.29;600.47;603.87;551.14;527.81;542.40;518.24;498.44;501.24;567.68
ago/05;480.06;499.60;547.76;644.43;491.03;500.31;549.63;494.63;432.93;470.11;470.14;476.61;485.65;526.44;459.85;518.06;505.10;470.80;601.45;606.88;552.04;530.14;542.96;520.21;500.77;502.32;568.78
set/05;480.48;501.46;549.81;646.25;491.63;500.41;550.02;496.28;434.76;470.86;472.35;477.05;486.25;528.12;460.09;518.86;506.45;472.69;601.51;607.32;552.55;530.92;543.25;521.10;501.44;503.26;569.45
out/05;481.32;505.32;551.51;648.62;502.59;501.23;551.33;497.16;437.37;474.07;473.31;477.81;487.49;528.49;460.71;520.64;506.78;473.02;601.85;607.99;554.19;534.64;543.57;522.38;502.76;503.73;570.15
nov/05;482.35;507.95;556.24;654.44;503.87;502.65;551.79;499.64;439.05;475.83;485.62;478.59;488.62;532.29;461.01;521.23;508.54;473.23;602.62;608.54;554.88;534.84;546.51;523.29;503.99;504.22;570.43
dez/05;483.53;508.29;557.95;656.22;506.81;512.96;554.05;500.67;441.42;477.98;486.15;479.54;501.22;535.18;462.07;522.75;521.17;474.07;602.69;609.30;555.35;535.18;547.14;523.38;504.57;505.66;572.05
jan/06;484.81;508.89;559.42;657.47;509.93;518.35;554.66;516.97;458.97;480.98;490.52;480.12;502.08;535.91;468.37;525.00;525.04;474.56;603.04;611.07;555.75;536.15;547.46;524.40;506.80;506.32;572.74
fev/06;484.97;509.55;559.79;659.09;514.86;519.51;555.84;518.08;459.65;482.48;490.87;480.58;502.44;536.76;469.68;535.00;525.50;475.13;603.44;611.94;557.04;537.09;548.80;525.16;507.84;507.06;574.07
mar/06;486.36;510.88;561.22;660.98;515.96;520.47;556.88;519.22;460.24;483.32;492.05;481.74;503.57;537.76;470.78;536.67;526.42;475.59;605.13;612.74;558.32;537.93;550.01;526.14;509.08;507.84;575.59
abr/06;486.86;510.93;561.59;661.84;516.57;521.47;557.65;519.93;460.65;493.72;492.41;482.27;504.12;537.85;471.32;540.57;526.96;476.08;624.29;613.38;558.71;537.93;550.23;526.29;509.49;508.25;576.31
mai/06;490.76;517.09;563.14;662.85;521.62;524.45;558.27;523.42;467.62;497.05;496.67;500.66;505.16;555.02;491.97;543.11;528.31;494.48;625.19;627.50;560.39;548.83;552.03;527.82;512.70;510.60;587.92
jun/06;497.18;518.18;565.98;664.67;522.83;526.08;560.03;525.68;469.79;499.20;498.27;501.44;506.40;557.27;494.21;545.74;529.27;495.28;628.32;629.85;560.76;549.94;563.33;533.79;514.47;522.43;589.20
jul/06;498.86;519.97;579.66;666.05;524.03;527.65;561.32;527.45;472.00;500.22;499.36;502.48;508.22;560.17;496.64;547.39;530.48;495.76;629.29;631.44;571.70;551.41;564.96;534.94;515.69;524.25;590.13
ago/06;499.94;540.36;581.44;666.71;526.46;529.24;563.00;528.60;472.90;503.12;500.42;503.46;509.46;561.22;497.87;548.32;530.77;496.65;630.61;632.31;573.23;552.10;566.79;536.81;527.54;526.16;591.83
set/06;501.92;542.68;583.11;669.04;537.07;530.75;565.31;530.59;475.34;505.13;501.18;505.06;511.17;562.74;500.17;549.73;531.28;497.69;631.69;632.78;573.42;553.10;567.48;537.77;529.28;527.34;592.64
out/06;503.63;543.49;585.09;670.15;539.61;531.74;567.44;533.31;476.69;506.35;502.06;506.19;513.91;565.24;501.77;551.58;532.83;498.47;633.23;633.12;573.51;553.55;569.28;539.02;531.52;528.55;593.89
nov/06;504.98;546.66;585.66;672.65;540.96;533.17;568.50;535.19;478.73;507.46;510.66;507.69;524.28;566.73;503.08;553.36;534.97;499.45;634.78;635.05;574.02;553.88;569.76;540.45;533.79;529.36;594.75
dez/06;506.01;548.06;587.06;684.90;541.24;561.69;571.03;537.46;481.41;508.79;512.23;509.11;527.24;568.10;503.89;555.57;548.89;500.59;636.64;635.83;574.20;554.22;570.00;542.33;536.47;530.38;595.61
jan/07;507.17;550.38;588.86;688.55;543.60;565.87;580.62;550.30;485.13;511.28;514.38;511.77;528.42;569.48;504.90;556.78;549.88;501.31;636.91;636.65;574.47;554.28;571.55;544.02;537.51;531.86;596.37
fev/07;521.17;551.11;592.25;688.94;546.35;566.37;582.53;551.78;498.00;513.80;515.98;513.25;531.00;572.24;507.32;559.03;551.78;502.67;638.57;638.90;574.94;556.10;573.74;545.17;538.94;534.13;597.82
mar/07;522.17;553.79;592.70;689.22;546.86;568.15;583.90;553.24;501.37;517.22;517.99;514.12;531.57;573.36;510.42;574.93;553.49;503.76;656.76;640.06;576.51;557.60;575.08;547.32;540.25;535.59;598.28
abr/07;523.99;554.35;593.62;690.08;549.59;568.66;585.08;553.89;502.59;539.66;519.25;534.09;533.88;575.62;512.20;576.34;554.55;506.51;658.35;640.52;577.15;557.87;575.28;548.84;541.42;535.89;599.00
mai/07;527.18;556.99;594.69;690.48;550.65;569.34;586.97;554.84;506.14;541.05;523.69;537.07;535.69;588.89;533.97;577.95;556.02;520.46;659.08;651.27;579.98;574.66;576.21;551.54;547.02;536.80;608.80
jun/07;530.17;560.19;597.72;690.94;551.65;571.00;589.30;555.16;508.24;542.84;524.74;540.16;536.75;591.92;538.93;581.11;557.33;521.76;660.22;653.94;581.04;575.64;586.66;567.66;552.24;546.22;610.53
jul/07;531.27;585.52;610.41;691.70;553.55;572.51;590.71;558.13;512.33;544.04;527.23;543.91;539.12;593.05;539.94;581.97;557.87;523.11;661.12;654.61;595.37;577.07;588.49;572.20;553.04;547.47;614.75
ago/07;532.00;586.47;610.91;692.86;554.66;574.91;594.19;559.37;514.07;544.96;528.38;544.72;542.28;594.10;540.72;583.25;559.39;524.71;662.22;656.04;596.15;580.16;588.65;573.45;567.91;548.54;617.04
set/07;533.78;591.73;615.42;693.71;571.57;577.82;597.62;559.43;518.38;547.09;529.30;545.97;544.58;598.26;541.33;585.78;560.77;527.81;664.84;658.32;596.56;582.42;589.29;576.34;570.29;550.88;619.36
out/07;539.60;595.29;617.44;694.90;572.77;580.43;600.12;560.64;521.67;549.56;529.99;548.00;555.89;598.41;541.88;589.18;562.50;529.50;666.45;660.59;598.02;584.58;590.14;578.24;575.39;555.19;622.42
nov/07;544.77;596.15;623.08;696.36;574.47;583.38;608.05;571.11;523.50;552.25;545.16;549.50;558.78;600.98;544.01;590.60;564.76;531.57;668.07;663.23;599.47;587.73;590.85;581.36;579.77;559.72;624.70
dez/07;549.84;599.72;626.36;700.34;579.24;586.75;621.38;589.16;526.18;554.89;546.51;550.34;559.40;602.07;545.47;591.19;589.93;533.89;670.78;664.74;601.30;591.48;593.29;582.13;580.45;562.59;626.08
jan/08;554.34;602.55;629.00;701.53;584.04;601.54;622.09;591.71;528.54;558.27;547.83;562.79;560.53;603.93;546.04;592.26;592.54;535.61;671.31;668.74;602.73;593.89;594.10;585.65;581.32;563.99;630.32
fev/08;554.80;603.19;629.56;703.23;589.23;605.66;622.52;593.25;548.72;561.59;547.96;565.86;563.50;605.63;548.27;596.06;595.90;536.86;671.84;671.54;603.24;596.95;596.96;586.24;581.60;564.39;631.87
mar/08;558.79;606.20;630.64;717.50;590.08;606.22;624.46;595.75;550.43;565.29;549.78;566.73;565.07;607.14;552.62;613.26;599.97;538.83;704.35;673.15;603.92;597.64;598.21;588.75;585.40;568.51;633.22
abr/08;562.01;609.73;632.18;721.82;591.77;607.55;624.91;596.77;550.95;565.93;551.56;570.78;568.44;608.80;554.41;614.60;601.32;540.52;709.00;675.13;608.08;602.06;600.60;590.77;587.07;571.07;635.39
mai/08;578.25;642.83;634.04;725.27;592.94;608.30;630.44;597.49;555.28;584.97;553.20;573.48;570.94;628.04;573.22;616.74;602.20;564.13;710.22;701.39;613.83;626.84;601.42;608.49;591.34;587.13;655.36
jun/08;586.02;654.59;639.12;728.09;600.25;611.08;635.35;599.32;561.02;587.49;556.47;576.37;576.49;635.10;576.29;619.52;605.84;566.97;716.85;708.30;643.81;633.43;625.24;614.78;597.81;593.59;660.59
jul/08;594.57;659.29;672.60;732.40;605.73;613.71;643.85;604.18;563.70;590.12;560.07;581.40;581.20;638.75;580.65;626.10;607.64;572.91;721.00;715.37;650.71;638.71;630.34;619.01;626.37;598.93;668.33
ago/08;601.98;669.01;682.93;739.22;613.06;617.56;676.01;612.14;569.72;598.12;566.05;588.59;589.24;645.15;586.85;633.27;614.28;582.76;726.69;724.16;659.97;644.03;642.70;628.08;634.02;608.06;675.23
set/08;613.19;679.09;694.31;747.07;618.73;625.42;683.84;622.38;580.04;605.95;576.98;596.00;598.21;652.77;592.76;640.91;627.73;588.95;734.74;732.02;666.67;651.17;649.20;636.12;641.82;616.65;686.64
out/08;623.64;683.86;704.11;749.65;644.91;629.03;692.15;632.23;587.63;612.38;583.49;602.73;604.79;658.64;600.70;647.36;631.14;594.99;740.70;738.54;670.07;656.65;651.77;640.56;645.16;619.94;690.92
nov/08;630.91;687.53;705.50;773.92;653.22;634.43;697.70;638.78;590.18;615.78;602.24;611.35;631.31;663.33;603.46;650.30;633.94;598.35;743.55;742.93;674.28;662.26;653.74;646.25;648.96;626.23;697.76
dez/08;633.76;688.47;707.27;774.08;655.61;660.85;700.58;643.49;614.87;617.35;604.83;614.73;633.33;663.89;603.86;651.50;647.82;600.70;745.83;746.96;675.12;665.62;659.99;646.91;649.62;626.50;701.60
jan/09;634.61;693.86;711.02;775.68;656.75;662.40;701.78;663.29;615.37;617.59;606.07;617.50;637.09;665.13;605.75;653.13;650.81;603.45;748.23;748.39;680.82;667.75;662.27;649.65;652.14;628.67;705.13
fev/09;635.96;695.73;714.22;777.55;664.10;666.78;702.26;664.08;616.86;618.44;607.07;619.17;639.76;666.23;606.84;656.66;656.58;606.54;750.11;749.80;681.51;668.47;663.66;652.00;652.43;629.86;705.81
mar/09;638.48;700.88;720.51;781.07;665.67;669.00;703.37;665.98;620.29;621.86;608.48;649.69;641.24;672.02;612.64;680.49;659.21;608.51;780.86;752.42;682.25;671.36;665.61;653.27;656.64;630.94;710.66
abr/09;641.49;702.02;723.27;782.90;666.09;669.10;704.67;666.80;620.87;642.38;609.21;651.29;641.76;673.96;615.29;681.03;660.37;610.06;784.57;753.99;683.04;672.60;666.30;654.38;657.28;632.25;711.14
mai/09;652.29;741.42;723.90;785.25;666.45;669.98;705.66;670.39;622.17;643.73;609.92;653.63;642.60;681.16;615.83;681.87;662.73;631.17;787.34;777.91;683.05;695.21;666.79;677.16;658.37;643.16;724.22
jun/09;654.04;745.01;724.33;785.88;667.62;670.41;705.93;672.12;623.73;645.02;610.07;655.30;642.89;683.52;616.36;682.21;663.29;631.89;787.77;778.67;684.74;695.46;684.04;678.74;683.07;644.68;726.82
jul/09;655.23;747.69;747.41;787.40;669.03;671.34;707.81;677.91;624.46;646.96;610.64;658.66;647.57;684.38;617.64;683.12;663.94;634.18;788.28;779.81;712.43;696.31;684.94;680.17;683.28;646.23;728.50
ago/09;657.31;748.48;750.89;788.30;672.61;672.86;710.59;679.14;625.07;649.61;611.02;659.92;647.96;684.89;635.83;683.46;664.03;635.30;789.31;780.82;712.55;697.04;685.40;681.58;688.32;649.29;729.78
set/09;659.54;750.33;752.42;789.65;674.18;674.29;712.13;681.85;629.19;652.75;611.10;661.69;650.54;686.95;636.49;684.61;664.76;637.13;789.81;782.26;713.75;698.43;686.31;682.28;689.14;650.31;731.77
out/09;660.22;751.00;754.10;810.55;694.83;674.72;713.63;685.59;631.76;654.39;611.72;662.82;671.48;688.96;637.36;685.11;665.14;638.66;790.38;782.55;714.21;699.49;686.87;682.73;689.75;653.17;734.35
nov/09;661.36;753.34;754.63;810.97;697.00;676.28;728.94;689.10;633.96;655.76;636.40;664.09;672.10;690.44;640.87;686.18;666.30;639.34;792.06;785.85;714.51;700.42;687.90;687.80;690.60;654.45;737.43
dez/09;662.91;754.85;755.66;813.15;698.31;679.11;732.06;693.51;637.91;658.20;638.02;665.88;673.16;693.82;641.21;686.83;687.18;640.38;793.34;788.89;715.68;702.14;689.75;689.63;691.70;658.88;740.75
jan/10;667.30;760.51;760.81;814.85;699.84;701.50;738.66;700.09;669.08;664.58;642.63;670.24;673.77;698.39;647.37;688.41;688.72;641.65;794.56;790.64;716.83;704.22;692.78;693.12;692.64;664.09;741.91
fev/10;738.32;761.54;761.41;815.37;706.19;703.30;740.54;722.81;673.78;669.09;644.44;672.81;675.28;699.96;649.22;690.28;690.28;643.69;796.22;791.51;717.60;704.69;693.52;694.29;693.38;666.14;742.60
mar/10;742.16;765.25;764.45;816.08;708.92;707.02;742.06;728.24;676.06;672.10;646.38;674.66;675.64;702.01;651.68;715.25;690.95;644.59;826.30;793.15;718.62;705.79;696.35;697.64;694.75;672.44;744.20
abr/10;748.90;767.75;767.88;816.72;710.89;707.90;747.28;730.49;679.71;673.95;647.53;676.16;676.02;703.12;653.11;716.13;692.47;645.72;829.11;795.80;718.94;706.76;702.24;725.17;695.78;678.07;748.57
mai/10;757.28;771.80;769.71;817.32;712.64;709.14;749.48;730.76;680.72;697.90;648.63;678.91;677.15;708.21;671.44;717.12;696.96;649.94;831.58;824.34;720.06;736.67;703.65;727.91;697.98;708.20;768.48
jun/10;760.29;779.05;772.22;818.65;716.77;710.76;751.85;732.35;684.59;701.48;649.75;707.39;680.23;724.95;675.96;718.47;701.98;655.04;833.54;829.52;722.19;739.92;716.88;730.54;703.62;711.83;770.75
jul/10;764.51;810.31;774.76;820.02;718.94;712.67;758.02;734.17;685.29;704.94;651.07;711.50;681.73;730.20;679.01;720.28;702.79;661.38;835.95;831.33;757.53;741.95;719.30;737.59;750.41;713.48;776.08
ago/10;767.58;812.60;793.44;820.34;720.27;713.00;760.33;735.57;688.81;705.57;651.97;714.58;682.21;732.65;680.64;721.60;705.31;676.45;836.80;832.79;758.57;745.21;719.99;741.96;753.67;716.81;779.02
set/10;774.05;813.43;796.95;839.22;748.59;714.15;766.33;737.51;689.65;706.74;653.25;716.16;683.24;735.20;682.67;723.15;707.70;677.62;839.45;834.55;759.58;746.72;721.32;742.25;754.46;718.85;779.78
out/10;779.19;815.82;800.92;839.55;752.54;716.08;770.03;744.47;692.04;709.06;686.08;718.07;713.39;736.74;684.01;724.09;708.63;680.29;841.59;836.52;760.35;750.11;724.53;743.44;756.36;720.65;782.80
nov/10;783.54;820.21;802.37;843.59;753.89;717.73;771.90;749.20;696.00;715.73;688.22;719.82;714.14;739.11;685.98;726.99;743.85;681.65;843.02;838.66;761.14;751.07;726.98;745.81;758.22;721.59;787.64
dez/10;784.18;822.20;804.81;844.39;755.54;721.14;774.01;750.36;699.99;718.38;690.97;721.08;715.70;744.54;688.51;729.90;744.60;683.33;845.31;840.62;762.70;754.63;729.31;747.41;758.92;721.95;794.72
jan/11;785.26;825.66;805.59;845.15;756.84;721.82;797.23;752.94;729.32;719.22;693.33;722.79;717.31;745.10;689.21;731.05;745.59;684.41;846.96;842.02;763.72;756.13;729.97;748.39;759.25;725.32;795.97
fev/11;786.07;829.63;809.33;846.60;759.42;723.61;798.89;788.99;731.66;720.25;694.64;724.80;719.76;746.62;689.47;733.03;745.93;684.96;849.58;842.70;764.70;757.51;733.28;752.43;759.44;727.79;796.95
mar/11;787.65;834.75;809.52;846.70;760.02;725.73;799.55;789.02;733.49;719.89;695.75;725.32;721.58;748.85;692.95;734.09;746.52;685.18;891.42;843.34;767.58;758.80;735.56;753.98;760.38;728.69;798.01
abr/11;791.48;835.56;811.66;847.86;761.70;727.68;801.15;793.34;734.31;721.39;698.67;726.95;723.37;752.70;693.62;760.33;747.08;685.38;894.95;844.11;767.71;760.38;737.05;756.57;761.55;731.38;801.31
mai/11;819.80;837.51;814.00;847.85;762.93;732.30;801.32;795.60;734.78;743.21;699.42;763.16;723.52;752.68;724.21;761.39;750.14;685.67;898.43;870.19;770.51;791.69;742.34;795.67;763.52;766.84;829.84
jun/11;822.72;841.08;816.33;847.90;763.38;732.89;804.54;807.61;735.80;743.56;699.89;764.58;725.23;771.81;727.21;762.84;750.92;702.89;898.87;873.27;774.47;793.46;770.80;800.45;803.68;768.65;830.30
jul/11;823.72;873.36;844.82;849.87;764.52;733.35;804.84;811.62;736.66;744.41;699.89;766.64;725.20;771.94;727.42;764.30;751.32;702.90;898.85;876.34;814.90;794.58;770.85;800.45;805.30;769.89;832.42
ago/11;824.83;874.21;844.95;851.93;766.27;733.90;805.67;812.26;737.00;745.56;701.64;767.43;725.54;773.12;728.17;764.32;751.84;705.84;899.06;879.15;814.96;796.14;772.23;801.42;805.89;770.15;834.43
set/11;827.16;876.53;845.78;852.54;767.60;737.85;806.26;813.14;741.83;745.84;704.02;773.63;726.43;773.25;729.05;764.80;752.88;707.20;900.38;881.16;815.74;798.79;773.57;803.18;806.44;772.45;840.61
out/11;827.26;880.16;846.33;879.12;799.21;742.59;807.72;816.69;742.23;747.04;704.73;778.75;727.54;774.92;730.26;766.90;753.62;708.13;903.52;881.27;819.31;798.83;775.14;803.27;816.01;774.93;842.84
nov/11;829.64;881.18;847.51;882.88;799.50;743.32;807.83;818.77;743.36;748.35;733.86;776.33;756.60;775.33;731.07;767.77;753.59;708.30;903.67;881.34;819.94;798.85;775.89;803.90;817.06;774.98;867.35
dez/11;830.01;881.13;847.60;882.95;799.32;751.05;808.85;820.36;743.43;749.58;733.87;776.44;757.40;775.83;731.59;769.43;754.13;708.40;905.51;882.01;821.59;800.99;776.23;806.82;817.06;776.12;869.05
jan/12;874.63;881.20;848.29;884.31;801.59;789.68;808.86;820.67;744.03;753.18;733.85;776.98;757.87;777.13;733.79;771.60;779.98;709.47;907.71;885.26;821.75;801.86;776.54;807.84;817.90;776.31;869.27
fev/12;880.08;887.56;848.83;890.26;804.75;793.52;818.38;821.13;767.45;757.52;734.05;780.38;758.32;781.25;738.91;773.60;781.40;713.44;910.55;886.42;825.15;804.01;778.70;808.62;818.55;781.96;871.48
mar/12;880.77;887.73;851.40;891.75;805.56;793.55;848.25;823.53;768.95;758.16;734.79;781.46;758.82;785.10;738.96;781.10;784.00;714.35;910.73;887.44;830.26;806.24;788.85;811.60;818.80;784.19;871.88
abr/12;882.69;888.99;851.96;894.65;805.79;794.31;850.08;831.38;770.17;759.37;735.51;782.81;762.28;787.92;760.96;792.99;784.11;715.45;950.20;887.94;833.90;807.35;789.80;811.58;818.82;785.30;872.45
mai/12;888.93;891.22;855.84;897.24;806.25;794.71;851.06;831.66;768.57;759.59;735.77;783.93;763.89;790.29;761.78;793.26;786.63;717.83;951.85;910.86;838.78;809.87;792.12;811.80;818.95;787.24;872.48
jun/12;890.01;891.31;859.55;904.11;808.40;794.95;852.99;831.72;769.81;782.65;736.51;785.66;765.13;808.30;763.30;793.67;787.49;732.63;952.72;913.81;841.84;858.80;793.63;830.42;822.58;790.26;904.80
jul/12;891.16;892.43;859.82;907.23;809.78;796.45;851.71;832.95;773.69;780.81;738.29;785.96;764.83;808.27;763.45;797.58;788.91;733.60;952.81;915.25;862.84;863.19;794.86;832.62;823.82;790.52;905.76
ago/12;894.22;934.13;883.44;910.76;813.81;809.92;870.39;834.42;773.56;782.25;738.45;825.33;758.45;810.26;763.50;798.73;788.43;737.32;951.86;917.03;893.07;868.24;798.39;835.54;866.38;829.06;906.32
set/12;899.70;934.45;881.73;910.87;813.08;814.09;875.86;857.39;772.84;782.48;737.79;826.22;758.92;809.28;763.09;799.01;787.64;737.20;955.65;918.13;896.75;870.20;802.21;835.93;877.80;828.70;901.52
out/12;905.32;940.03;884.50;910.32;846.91;818.39;874.87;858.30;774.84;786.66;736.84;831.26;760.00;810.41;763.28;800.51;787.69;755.72;959.84;918.51;895.56;873.83;802.37;839.27;880.24;829.49;901.63
nov/12;906.07;945.79;883.37;941.25;846.14;820.72;874.14;861.00;776.96;788.65;737.40;833.36;763.56;809.35;763.90;800.36;790.23;766.22;962.44;921.53;896.39;874.12;802.76;841.68;878.97;830.74;903.06
dez/12;910.69;948.68;884.96;940.69;849.22;821.88;877.42;872.01;777.31;789.67;765.59;833.50;788.22;809.13;764.91;802.21;790.36;767.85;965.60;922.37;897.12;882.50;803.79;845.74;882.54;829.28;905.97
jan/13;915.27;949.57;886.14;941.58;852.32;851.79;878.90;876.16;779.56;790.86;765.28;834.68;788.17;810.45;766.61;801.88;790.55;771.96;969.09;923.77;897.80;883.97;806.27;846.64;883.30;830.73;908.24
fev/13;918.87;954.12;888.32;943.51;853.20;853.13;883.58;876.60;779.64;793.65;766.61;836.25;788.81;811.03;776.16;805.49;830.08;772.99;974.74;924.12;898.26;885.31;817.77;851.92;884.74;831.36;908.80
mar/13;950.67;953.77;884.11;945.88;854.63;850.91;886.13;878.47;809.39;793.62;766.79;836.77;790.90;812.40;778.75;803.73;831.01;771.66;975.31;924.21;905.38;886.33;826.32;852.56;883.47;831.04;908.10
abr/13;957.59;961.38;886.65;945.95;852.96;852.24;889.63;877.94;812.80;795.20;769.29;838.21;791.79;813.03;779.99;831.72;830.83;772.67;1013.80;924.53;905.44;886.47;826.56;857.03;885.35;836.43;909.54
mai/13;906.34;906.39;833.56;892.68;802.56;805.24;863.93;826.66;771.33;755.78;723.14;827.36;746.71;789.25;751.16;780.80;781.03;746.39;952.66;888.80;846.56;861.62;785.62;811.44;836.67;789.73;859.35
jun/13;963.81;990.15;882.31;950.79;850.74;853.12;938.00;872.49;820.90;821.66;771.46;877.16;792.95;842.60;804.77;833.58;838.60;806.57;1026.58;975.47;908.91;948.20;863.26;861.15;891.20;846.71;944.76
jul/13;908.58;933.09;830.19;893.95;799.17;801.99;879.56;823.91;774.89;780.95;727.68;825.43;747.19;791.43;757.34;779.00;784.75;767.44;955.00;906.45;848.95;885.53;815.63;818.12;840.27;837.61;889.51
ago/13;904.71;932.65;859.00;894.15;800.20;805.94;878.93;820.47;783.73;785.86;730.26;829.72;751.37;791.03;755.98;781.54;785.30;765.46;955.64;910.28;888.14;885.76;811.99;850.41;839.52;837.58;888.96
set/13;910.84;937.50;861.51;897.75;832.54;807.85;881.56;830.49;791.35;792.04;737.09;833.74;756.10;792.83;756.78;781.06;786.25;767.85;961.68;912.85;893.84;889.24;814.93;855.14;839.91;838.23;894.85
out/13;916.09;943.58;866.92;926.89;839.83;815.65;892.25;836.89;788.92;798.39;737.90;836.48;759.37;792.25;759.15;786.99;785.94;772.15;965.16;913.02;893.67;894.28;815.63;856.38;879.53;841.72;894.19
nov/13;916.10;945.53;867.62;927.66;842.57;825.96;892.03;855.89;793.03;802.20;771.73;835.12;760.26;795.06;759.76;789.99;789.45;770.73;964.53;918.91;891.92;898.77;812.39;856.37;879.23;843.10;894.83
dez/13;920.48;950.89;871.99;930.11;846.40;830.83;895.32;860.32;831.32;801.94;773.67;835.54;791.20;794.33;764.04;792.28;817.02;771.93;965.97;923.74;892.81;900.84;815.88;857.45;883.72;843.23;895.78
jan/14;919.26;954.27;875.63;936.38;850.73;859.42;908.70;861.59;831.49;805.76;781.22;836.51;794.88;798.13;774.32;799.27;821.21;774.83;969.93;927.63;893.94;909.40;816.75;855.33;879.21;851.38;898.41
fev/14;947.28;958.60;879.92;941.68;859.45;860.78;910.20;864.63;831.64;809.07;782.13;840.11;798.27;799.02;779.05;802.42;824.25;779.75;976.95;932.20;893.90;911.19;822.04;860.62;882.15;855.07;897.80
mar/14;949.84;962.83;881.48;941.57;864.12;884.67;912.62;869.41;835.92;813.00;784.36;841.96;800.59;801.82;779.29;811.08;829.45;788.55;988.12;938.57;897.27;916.23;827.36;864.37;884.65;858.19;899.95
abr/14;953.35;964.38;883.35;941.75;862.76;884.85;912.64;869.69;837.45;816.42;785.50;846.10;808.77;803.35;779.85;832.87;830.91;793.61;990.45;939.85;902.57;916.62;831.80;866.40;886.08;862.27;900.20
mai/14;959.77;964.53;884.89;948.89;863.53;888.38;916.57;863.90;838.58;815.74;787.88;874.14;813.75;801.78;802.51;834.21;831.26;794.97;1034.67;964.80;901.54;916.88;836.97;871.30;890.04;864.36;901.31
